id,address,city,state,zip
1,100 3RD ST,San Jose,CA,
2,100 ALEXANDER AV,San Jose,CA,
3,100 ALEXANDER CT,San Jose,CA,
4,100 ALMADEN BL,San Jose,CA,
5,100 ARCHER ST,San Jose,CA,
6,100 ASBURY ST,San Jose,CA,
7,100 AT 101,San Jose,CA,
8,100 AT 880,San Jose,CA,
9,100 AT BERNAL,San Jose,CA,
10,100 ATLAS AV,San Jose,CA,
11,100 AVENIDA ESPANA,San Jose,CA,
12,100 AZUCAR AV,San Jose,CA,
13,100 BARNARD AV,San Jose,CA,
14,100 BASCH AV,San Jose,CA,
15,100 BASSETT ST,San Jose,CA,
16,100 BELLEVUE AV,San Jose,CA,
17,100 BERNAL WY,San Jose,CA,
18,100 BIRCH LN,San Jose,CA,
19,100 BLOSSOM HILL RD,San Jose,CA,
20,100 BROOKLYN AV,San Jose,CA,
21,100 BURTON AV,San Jose,CA,
22,100 BUSH ST,San Jose,CA,
23,100 CAHILL ST,San Jose,CA,
24,100 CALLE CUERVO,San Jose,CA,
25,100 CALLE DE GUADALUPE,San Jose,CA,
26,100 CASHEW BLOSSOM DR,San Jose,CA,
27,100 CASTLEBRIDGE DR,San Jose,CA,
28,100 CASTLECREST DR,San Jose,CA,
29,100 CECIL AV,San Jose,CA,
30,100 CEDAR LN,San Jose,CA,
31,100 CHAPELHAVEN CT,San Jose,CA,
32,100 CHERRY BLOSSOM DR,San Jose,CA,
33,100 CHERRY RIDGE CT,San Jose,CA,
34,100 CHERRYTON LN,San Jose,CA,
35,100 CLEAVES AV,San Jose,CA,
36,100 COBURN CT,San Jose,CA,
37,100 COTTLE RD,San Jose,CA,
38,100 COUNTRY FIELDS LN,San Jose,CA,
39,100 COYOTE CREEK GOLF DR,San Jose,CA,
40,100 CROCKER CT,San Jose,CA,
41,100 CROCKER DR,San Jose,CA,
42,100 CURTNER,San Jose,CA,
43,100 CURTNER AV,San Jose,CA,
44,100 CYCLAMEN CT,San Jose,CA,
45,100 DAGGETT DR,San Jose,CA,
46,100 DANA AV,San Jose,CA,
47,100 DEARWELL WY,San Jose,CA,
48,100 DEER RUN CL,San Jose,CA,
49,100 DESCANSO DR,San Jose,CA,
50,100 DEVINE ST,San Jose,CA,
51,100 DUANE ST,San Jose,CA,
52,100 E BROKAW RD,San Jose,CA,
53,100 E EMPIRE ST,San Jose,CA,
54,100 E GISH RD,San Jose,CA,
55,100 E HUMBOLDT ST,San Jose,CA,
56,100 E JULIAN ST,San Jose,CA,
57,100 E REED ST,San Jose,CA,
58,100 E ROSEMARY LN,San Jose,CA,
59,100 E ROSEMARY ST,San Jose,CA,
60,100 E SAN CARLOS ST,San Jose,CA,
61,100 E SAN FERNANDO ST,San Jose,CA,
62,100 E SAN SALVADOR ST,San Jose,CA,
63,100 E SANTA CLARA ST,San Jose,CA,
64,100 E ST JAMES ST,San Jose,CA,
65,100 E TASMAN DR,San Jose,CA,
66,100 E TAYLOR ST,San Jose,CA,
67,100 E TRIMBLE RD,San Jose,CA,
68,100 E VIRGINIA ST,San Jose,CA,
69,100 E WILLIAM ST,San Jose,CA,
70,100 E YOUNGER AV,San Jose,CA,
71,100 EASTWOOD CT,San Jose,CA,
72,100 EDWARDS AV,San Jose,CA,
73,100 ELODIE WY,San Jose,CA,
74,100 ESFAHAN DR,San Jose,CA,
75,100 ESSENDON WY,San Jose,CA,
76,100 FERRARI AV,San Jose,CA,
77,100 FLINTWELL WY,San Jose,CA,
78,100 FLOOR BLOOMINGDALES,San Jose,CA,
79,100 FLOYD ST,San Jose,CA,
80,100 FORTROSE CT,San Jose,CA,
81,100 FOSS AV,San Jose,CA,
82,100 FOX AV,San Jose,CA,
83,100 FRONTIER TRAIL DR,San Jose,CA,
84,100 GEBHART AV,San Jose,CA,
85,100 GEORGE ST,San Jose,CA,
86,100 GLEN EYRIE AV,San Jose,CA,
87,100 GOODYEAR ST,San Jose,CA,
88,100 GRANDWELL WY,San Jose,CA,
89,100 GREAT OAKS BL,San Jose,CA,
90,100 GUAVA BLOSSOM CT,San Jose,CA,
91,100 HARRIET AV,San Jose,CA,
92,100 HAWTHORNE WY,San Jose,CA,
93,100 HAYES AV,San Jose,CA,
94,100 HEADQUARTERS DR,San Jose,CA,
95,100 HENSLEY ST,San Jose,CA,
96,100 HILLSDALE AV,San Jose,CA,
97,100 HOBSON ST,San Jose,CA,
98,100 HOLGER WY,San Jose,CA,
99,100 HOLLYWOOD AV,San Jose,CA,
100,100 JACKSON ST,San Jose,CA,
101,100 JOSE FIGUERES AV,San Jose,CA,
102,100 KARINA CT,San Jose,CA,
103,100 KENBROOK CL,San Jose,CA,
104,100 KENTUCKY PL,San Jose,CA,
105,100 KEYES ST,San Jose,CA,
106,LOUISE DR,San Jose,CA,
107,100 LARISA OAKS PL,San Jose,CA,
108,100 LAS COLINAS LN,San Jose,CA,
109,100 LEMON BLOSSOM CT,San Jose,CA,
110,100 LESTER AV,San Jose,CA,
111,100 LEWIS RD,San Jose,CA,
112,100 MAGELLAN AV,San Jose,CA,
113,100 MANNING AV,San Jose,CA,
114,100 MARO DR,San Jose,CA,
115,100 MARTHA ST,San Jose,CA,
116,100 MCCREERY AV,San Jose,CA,
117,100 METRO DR,San Jose,CA,
118,100 MILL STONE LN,San Jose,CA,
119,100 MILLAR AV,San Jose,CA,
120,100 MIRABELLI CL,San Jose,CA,
