year,clearance
2000,59.2
2001,30.8
2002,37.7
2003,37.6
2004,37.7
2005,38.4
2006,36.4
2007,35.2
2008,37.6
2009,38.9
2010,39.9
2011,39.6
2012,35
2013,42.9
2014,42
2015,41.1
2016,43.2
2017,39.6
2018,37.7
2019,41.2
2020,40.2
2021,39.5
