year,clearance
2000,62.2
2001,24.2
2002,24.8
2003,23.6
2004,26.8
2005,23.8
2006,22.6
2007,25
2008,25.2
2009,27.1
2010,26.5
2011,23.8
2012,23.7
2013,28.7
2014,32.6
2015,25.9
2016,30.2
2017,31
2018,30.4
2019,34
2020,32.2
2021,29.1
