year,clearance
2000,17.4
2001,10.4
2002,8.3
2003,9.4
2004,15.2
2005,40.6
2006,34.7
2007,20.4
2008,9.3
2009,8.1
2010,8.9
2011,9.9
2012,6.3
2013,6.2
2014,5
2015,5
2016,5.5
2017,6.5
2018,5.5
2019,7.5
2020,5.6
2021,5.9
