year,clearance
2000,23.3
2001,12.1
2002,21.2
2003,19
2004,18.5
2005,17.8
2006,17.5
2007,16.7
2008,18.7
2009,20.7
2010,18.9
2011,17
2012,13.8
2013,16
2014,14.2
2015,12.4
2016,11.5
2017,8.2
2018,7.5
2019,7.5
2020,6.3
2021,6
