year,clearance
2000,84.2
2001,68.2
2002,100
2003,79.3
2004,83.3
2005,96.2
2006,62.1
2007,75.8
2008,64.5
2009,71.4
2010,70
2011,69.2
2012,57.8
2013,63.2
2014,68.8
2015,73.3
2016,51.1
2017,56.2
2018,71.4
2019,84.4
2020,62.5
2021,58.1
