year,clearance
2000,79.8
2001,32.5
2002,24
2003,20.8
2004,18
2005,26.2
2006,19.8
2007,20.3
2008,17.3
2009,17.8
2010,19.4
2011,14.6
2012,9.6
2013,14.8
2014,13.7
2015,14.4
2016,12
2017,11.9
2018,9.3
2019,8.9
2020,16.1
2021,13.7
