year,clearance
2000,10.4
2001,5.3
2002,6.7
2003,5.8
2004,5.9
2005,7.4
2006,5.5
2007,7.2
2008,12.3
2009,5.7
2010,5.6
2011,5.6
2012,4.3
2013,5.8
2014,4.7
2015,4.4
2016,4.4
2017,6.2
2018,5.4
2019,7.4
2020,6.2
2021,6.9
